source_file,Run_nr,Alpha,Beta,CL,CD,Cyaw,Cm_p_qc,Ct,Cn,Cside,Cm_roll,Cm_pitch,Cm_yaw,V,Re,M,V_nominal,prop_speed_hz,test_block,advance_ratio_J,advance_ratio_nominal_J
corr_elevator0rudder0.txt,84,12.0,0.0,1.1987,0.113267,0.00281,-0.1874,-0.138428,1.196,0.002814,-0.0042,-0.48448,-0.0009,20.05,174000.0,0.059,20.0,27.6,BRK,3.5750456464681046,3.5661303206664385
corr_elevator0rudder0.txt,85,-1.996,0.0,0.0087,0.071353,0.00552,0.06131,0.071614,0.0062,0.005523,-0.00116,0.05913,0.00187,20.06,174200.0,0.059,20.0,22.0,BRK,4.487294201861131,4.473872584108805
corr_elevator0rudder0.txt,86,-0.004,0.0,0.2078,0.072472,0.00429,0.05778,0.072486,0.2078,0.004295,-0.00153,0.00525,0.00104,20.1,174600.0,0.059,20.0,22.0,BRK,4.4962419470293495,4.473872584108805
corr_elevator0rudder0.txt,87,4.0,0.0,0.6061,0.085335,0.00258,0.06508,0.042851,0.6105,0.002578,-0.00225,-0.08822,-0.00029,20.1,174600.0,0.059,20.0,22.0,BRK,4.4962419470293495,4.473872584108805
corr_elevator0rudder0.txt,88,8.0,0.0,0.9383,0.112004,0.00244,0.00886,-0.019669,0.9447,0.002436,-0.0034,-0.22741,-0.00081,20.11,174700.0,0.059,20.0,22.0,BRK,4.498478883321403,4.473872584108805
corr_elevator0rudder0.txt,89,12.0,0.0,1.1565,0.171837,0.00599,-0.10781,-0.07237,1.167,0.005989,-0.00146,-0.39844,-0.00175,20.09,174600.0,0.059,20.0,22.0,BRK,4.494005010737294,4.473872584108805
corr_elevator0rudder0.txt,90,-1.996,0.0,0.0059,0.068321,0.00057,0.06285,0.068486,0.0035,0.000568,-0.00072,0.06131,0.0023,40.22,348800.0,0.118,40.0,,FREE,,
corr_elevator0rudder0.txt,91,-0.005,0.0,0.2117,0.068918,0.00187,0.05509,0.068934,0.2117,0.001866,-0.00087,0.0016,0.00159,40.2,348300.0,0.118,40.0,,FREE,,
corr_elevator0rudder0.txt,92,4.0,0.0,0.6065,0.080001,0.00679,0.05486,0.037495,0.6107,0.006792,-0.00115,-0.09838,-0.00031,40.25,348600.0,0.118,40.0,,FREE,,
corr_elevator0rudder0.txt,93,8.0,0.0,0.9444,0.107329,-0.00113,-0.0029,-0.025146,0.9501,-0.001132,-0.00279,-0.24039,-0.00077,40.23,348400.0,0.118,40.0,,FREE,,
corr_elevator0rudder0.txt,94,12.0,0.0,1.1191,0.163384,0.00054,-0.12299,-0.072852,1.1286,0.000539,-0.00264,-0.40386,-0.00193,40.18,348000.0,0.118,40.0,,FREE,,
